Filename,File Size,Creation Date,Original Path
migration_mapping.csv,11.06 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
NON_AVATARARTS_COMPLETE_ANALYSIS.csv,35.13 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
real_python_scripts.csv,1.44 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
reorganization_preview_2026.csv,41.47 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
MASTER_BEFORE_AFTER_MIGRATION.csv,1.37 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
scan_results.csv,223.58 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
structural_dedupe_report.csv,1.34 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
demo_ecosystem_assets.csv,9.24 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
xeo0.txt,9.39 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
.zsh_usage.csv,89.00 B,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
Python_SCRIPTS_RANKED.csv,336.16 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
reorganization_preview_2026_MASTER_V3.csv,90.80 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
enriched-workspace-ecosystem-audit-data.csv,14.02 KB,07-09-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
results_more.csv,8.31 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
zsh_usage.csv,1.39 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
scanned_tree_with_excludes.json,12.69 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
claude_inventory.json,10.32 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
reorganization_preview_2026_MASTER.csv,75.36 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
results_copy.csv,4.41 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
results.csv,14.94 MB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
directory_structure_mapping.csv,24.65 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
docs.txt,68.00 B,07-09-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data
ChatGPT.md,147.58 KB,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/targets_batch_20260208
